time [s],concentration of A [mol/m3],concentration of B [mol/m3],concentration of R [mol/m3],concentration of S [mol/m3],concentration of T [mol/m3],rate of reaction of A [mol/m3·s],rate of reaction of B [mol/m3·s],rate of reaction of R [mol/m3·s],rate of reaction of S [mol/m3·s],rate of reaction of T [mol/m3·s],reactor temperature [K],jacket temperature [K],reactor setpoint temperature,volume of reaction mixture [m3],viscosity of the reaction mixture [Pa·s],shaft power of the impeller [W],heat released by reaction [W],cumulative_heat_released [J],heat removed by cooling water [W],cumulative heat removed by cooling water [J],conversion [-],cooling water flowrate [m3/s],stage
2150.0,2.2559447628343525,5.0387675308222715,3.9696751009706515,-1.6496454372067406,-7.635186537776859,0.0,0.0,0.0,0.0,0.0,300.62983851159663,287.97992400139844,273,0.645,1.0011313405424958,3302.558656808836,0.0,0.0,-0.0,0.0,20.129776778365223,-1.6787615356127568e-06,0
2200.0,3.08612188185526,7.719953836037594,-5.9058875194067575,0.7558730815412331,1.8676017034102321,0.0,0.0,0.0,0.0,0.0,299.17053595216,289.97133616312396,273,0.66,1.1887869784839158,3353.607779573861,0.0,0.0,-0.0,0.0,27.169445140379274,-1.241765725496157e-06,0
2250.0,-3.073991831237027,-3.5640648392629926,-2.290594196014411,5.452339057662414,-2.971720586239703,0.0,0.0,0.0,0.0,0.0,297.8269910536784,287.15485600396664,273,0.675,1.1545393198675926,3344.769837896361,0.0,0.0,0.0,0.0,-25.066585724466304,1.4330630170882425e-06,0
2300.0,-2.717304071179745,2.997850086771679,1.5499229681512008,-2.3478375612501967,-3.966870541882167,0.0,0.0,0.0,0.0,0.0,298.1761014728191,290.7763466212739,273,0.69,1.1140166506135096,3334.0572309315253,0.0,0.0,0.0,0.0,-22.041973889157855,3.3172823178506863e-07,0
2350.0,4.534467326256356,-0.9466633275416049,4.696676558927856,-5.088286010770291,3.2799597027082736,0.0,0.0,0.0,0.0,0.0,294.06403218305263,288.26812280733407,273,0.7050000000000001,0.8704787282382533,3262.3637151382727,0.0,0.0,-0.0,0.0,39.4510069524446,-9.546929093105536e-07,0
2400.0,7.545798657297851,-2.2986854890677066,-6.095393764626834,2.371207848793194,-1.140085042459797,0.0,0.0,0.0,0.0,0.0,299.4014963991617,287.03078898504356,273,0.72,0.8884365606389679,3268.1692678487925,0.0,0.0,-0.0,0.0,64.98624926757351,-7.78743489240997e-07,0
2450.0,-0.7045725652429993,5.393460817015118,9.775685875932705,-7.1879696403921445,-6.354869993569521,0.0,0.0,0.0,0.0,0.0,296.51926099251364,285.863014082865,273,0.735,1.0465241784878734,3315.5398179520994,0.0,0.0,-0.0,0.0,-4.974577090409202,-8.737263411775243e-07,0
2500.0,-7.586254432909222,2.3551119148882775,0.2376537859860665,2.8111820490290684,0.38011091227908883,0.0,0.0,0.0,0.0,0.0,299.4115993199038,288.0465289798411,273,0.75,1.1503886907555012,3343.6856116034623,0.0,0.0,0.0,0.0,-63.329302860724795,1.0021863718930617e-06,0
2550.0,5.5850423290985045,5.9786690411630055,1.7359269349596906,-1.8412034660046044,3.7977334874786353,0.0,0.0,0.0,0.0,0.0,300.1142106088175,288.58751469953785,273,0.765,0.9547266762290192,3288.7973669316157,0.0,0.0,-0.0,0.0,48.359587350508356,-1.6748237467617343e-07,0
2600.0,-1.986924396472042,5.6281175859547385,-0.6364801222254325,-3.516415261401388,-8.624185890722252,0.0,0.0,0.0,0.0,0.0,298.22932966052565,287.43880250762066,273,0.7799999999999999,0.9406418828107213,3284.514390456388,0.0,0.0,-0.0,0.0,-15.848559772466876,-1.545958501433258e-07,0
2650.0,4.850522923297868,10.443733523651222,-3.1119648420391384,-1.691223888787561,2.077742100828015,0.0,0.0,0.0,0.0,0.0,299.0025887284296,287.5792782753545,273,0.7949999999999999,0.9241012122769584,3279.4177125767774,0.0,0.0,-0.0,0.0,42.13106947904691,-3.087099237303787e-07,0
2700.0,-1.8959895563407096,8.149985249649594,3.7255303525895105,0.414503027903822,-6.081259257238402,0.0,0.0,0.0,0.0,0.0,295.61842191796177,290.1696907654887,273,0.8099999999999998,1.0793829811108857,3324.6658200336055,0.0,0.0,0.0,0.0,-15.077457916717917,4.4930431323473227e-07,0
2750.0,-3.3446318920846405,-1.2863415566006855,2.122223422757317,-4.247350794368435,1.2192046868256377,0.0,0.0,0.0,0.0,0.0,296.82196328635234,288.6875928748381,273,0.825,1.0597991136701828,3319.2529738681524,0.0,0.0,-0.0,0.0,-27.36153728382688,-1.9505531327625874e-06,0
2800.0,-1.9238375650368147,-0.46686172111054647,-9.188382911524041,-1.3526237153767395,0.5799992151490949,0.0,0.0,0.0,0.0,0.0,296.66042875614335,287.830850462974,273,0.8399999999999999,0.879904265906386,3265.423146014113,0.0,0.0,0.0,0.0,-15.31360119418414,1.3224779098753606e-07,0
2850.0,2.225580590934477,-6.757180943253757,4.1598399213517965,0.5110933593048421,0.08563703931272404,0.0,0.0,0.0,0.0,0.0,299.763983378903,290.83208208556204,273,0.855,1.2039915739335647,3357.471656688442,0.0,0.0,0.0,0.0,19.872297144965533,7.076264749948165e-07,0
2900.0,1.5425020201485933,-5.899841195923775,2.329543051691283,-1.1835581671921223,2.678219743047863,0.0,0.0,0.0,0.0,0.0,298.16823911122793,286.09236768184286,273,0.8699999999999999,1.1083657541553236,3332.5401922669143,0.0,0.0,-0.0,0.0,14.079983079260645,-6.830016101866913e-07,0
2950.0,2.057001832214429,4.474448497211784,-2.7264538808736827,-1.5285440984545282,6.141416482967918,0.0,0.0,0.0,0.0,0.0,301.26047639172174,286.63108512686284,273,0.885,0.9545238728545229,3288.736060619314,0.0,0.0,-0.0,0.0,18.442796708156656,-2.3255428869685225e-07,0
3000.0,-1.045916172486045,1.300911871717454,-0.8790411548499415,-7.46469764985191,-1.7954664504671656,0.0,0.0,0.0,0.0,0.0,300.418361586261,289.82979498069005,273,0.8999999999999999,0.9114064794574832,3275.455381447278,0.0,0.0,-0.0,0.0,-7.869074827613285,-1.122013210990346e-07,0
3050.0,-4.796684042841509,0.2701917637479421,-7.053917563825688,0.9597368975300941,6.985949431810406,0.0,0.0,0.0,0.0,0.0,297.51593857485585,290.5104388750491,273,0.9149999999999998,1.013187419367784,3306.05072071663,0.0,0.0,0.0,0.0,-39.674530922742335,7.478276288122448e-07,0
3100.0,-3.5558606895281715,1.9835280554104178,2.5434049326468102,-3.128182006368153,-3.5491360842472988,0.0,0.0,0.0,0.0,0.0,298.96845824407245,285.8276287338722,273,0.9299999999999999,0.9619322457344558,3290.9687948467886,0.0,0.0,0.0,0.0,-29.152698047524165,9.614309789748364e-07,0
3150.0,-7.016246369073875,-3.211926035265839,-1.83324183906867,1.3913238383238682,-6.532580873483784,0.0,0.0,0.0,0.0,0.0,298.1950209178928,289.051174713345,273,0.9449999999999998,0.9557003758649978,3289.091564739856,0.0,0.0,0.0,0.0,-58.495794876540614,5.044563853361788e-07,0
3200.0,2.9603394399215004,-5.321793045608002,-2.8261449537332832,7.871369104684261,4.101234344606402,0.0,0.0,0.0,0.0,0.0,298.55242807391636,286.9635153965661,273,0.9599999999999997,1.0281921642928362,3310.3514865119296,0.0,0.0,-0.0,0.0,26.102845427269553,-8.679851223867255e-07,0
3250.0,-2.8953510823685775,1.7296399568996232,-2.9954514806681,-6.978277868674677,-8.442510473681615,0.0,0.0,0.0,0.0,0.0,301.18753197768575,291.78209187290577,273,0.9749999999999999,1.1065430500276903,3332.049621449034,0.0,0.0,0.0,0.0,-23.551762442587762,5.010790262536543e-07,0
3300.0,2.0840408346988464,-2.5596950642771956,1.0341406140129517,-5.145301723254069,1.6092973313465173,0.0,0.0,0.0,0.0,0.0,295.09456960901963,287.54745668287296,273,0.9899999999999998,1.095726057612267,3329.125607168937,0.0,0.0,-0.0,0.0,18.672079840597675,-9.486138128671973e-07,0
3350.0,-8.689242091181496,2.890248464871738,-0.5732767410860113,3.0402208394320835,-9.679449739280205,0.0,0.0,0.0,0.0,0.0,296.0305460018132,291.2350168702933,273,1.005,1.1410047116189406,3341.2235548945105,0.0,0.0,0.0,0.0,-72.68232782820256,9.610962943057926e-07,0
3400.0,-14.094885340427528,-3.7906582793148798,14.60625202941117,-5.273237485178756,0.6930647539772337,0.0,0.0,0.0,0.0,0.0,296.4511711961896,288.85671534589517,273,1.0199999999999998,1.0859400369428032,3326.4612984381647,0.0,0.0,0.0,0.0,-118.52066146347804,1.0596975216180988e-06,0
